[23:55:07.962][INFO] Build Start Time: 2021-10-18 23:55:07.958
[23:55:07.963][INFO] Execute build event handler 'OnPreprocessAllPlatforms'...
[23:55:07.964][INFO] Start prepare resource collection...
[23:55:10.410][INFO] Prepare resource collection complete.
[23:55:10.410][INFO] Start analyze assets dependency...
[23:55:12.908][INFO] Analyze assets dependency complete.
[23:55:12.908][INFO] Start prepare build data...
[23:55:18.969][INFO] Prepare resource build data complete.
[23:55:18.969][INFO] Start build resources for selected platforms...
[23:55:18.970][INFO] Start build resources for 'Windows'...
[23:55:18.970][INFO] Working path is 'D:/Working/DeerGameFramework/trunk/xGame/GameFramework200730/ResourcesFile/Working/Windows/'.
[23:55:18.970][INFO] Output package is not selected.
[23:55:18.971][INFO] Output full is selected, path is 'D:/Working/DeerGameFramework/trunk/xGame/GameFramework200730/ResourcesFile/Full/0_1_5/Windows/'.
[23:55:18.971][INFO] Output packed is not selected.
[23:55:19.020][INFO] Execute build event handler 'OnPreprocessPlatform' for 'Windows'...
[23:55:19.020][INFO] Unity start build asset bundles for 'Windows'...
[23:55:19.288][INFO] Execute build event handler 'OnBuildAssetBundlesComplete' for 'Windows'...
[23:55:19.289][INFO] Unity build asset bundles for 'Windows' complete.
[23:55:19.289][INFO] Start create file system for 'Windows'...
[23:55:19.289][INFO] Create file system for 'Windows' complete.
[23:55:19.290][INFO] Start process asset bundle 'Asset/EntityPrefabs/Character/Blade_girl' for 'Windows'...
[23:55:19.302][INFO] Process asset bundle 'Asset/EntityPrefabs/Character/Blade_girl' for 'Windows' complete.
[23:55:19.302][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/Materials' for 'Windows'...
[23:55:19.312][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/Materials' for 'Windows' complete.
[23:55:19.312][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/Textures' for 'Windows'...
[23:55:19.484][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/Textures' for 'Windows' complete.
[23:55:19.484][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/model' for 'Windows'...
[23:55:20.014][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/model' for 'Windows' complete.
[23:55:20.014][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/prefab' for 'Windows'...
[23:55:20.026][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/prefab' for 'Windows' complete.
[23:55:20.026][INFO] Start process asset bundle 'Asset/GF' for 'Windows'...
[23:55:20.033][INFO] Process asset bundle 'Asset/GF' for 'Windows' complete.
[23:55:20.033][INFO] Start process asset bundle 'Asset/GameConfigs' for 'Windows'...
[23:55:20.035][INFO] Process asset bundle 'Asset/GameConfigs' for 'Windows' complete.
[23:55:20.035][INFO] Start process asset bundle 'Asset/Lua' for 'Windows'...
[23:55:20.080][INFO] Process asset bundle 'Asset/Lua' for 'Windows' complete.
[23:55:20.080][INFO] Start process asset bundle 'Asset/TTF' for 'Windows'...
[23:55:21.718][INFO] Process asset bundle 'Asset/TTF' for 'Windows' complete.
[23:55:21.718][INFO] Start process asset bundle 'Asset/UI/UIArt/Atlas/Common/item1' for 'Windows'...
[23:55:22.071][INFO] Process asset bundle 'Asset/UI/UIArt/Atlas/Common/item1' for 'Windows' complete.
[23:55:22.071][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/001' for 'Windows'...
[23:55:22.319][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/001' for 'Windows' complete.
[23:55:22.319][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/002' for 'Windows'...
[23:55:22.371][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/002' for 'Windows' complete.
[23:55:22.371][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/003' for 'Windows'...
[23:55:22.571][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/003' for 'Windows' complete.
[23:55:22.571][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/bg_ltx_03' for 'Windows'...
[23:55:22.574][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/bg_ltx_03' for 'Windows' complete.
[23:55:22.574][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/tips' for 'Windows'...
[23:55:22.582][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/tips' for 'Windows' complete.
[23:55:22.582][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Joystick/JoyStick' for 'Windows'...
[23:55:22.588][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Joystick/JoyStick' for 'Windows' complete.
[23:55:22.588][INFO] Start process asset bundle 'Asset/UI/UIPrefab/InitForm/InitForm' for 'Windows'...
[23:55:22.590][INFO] Process asset bundle 'Asset/UI/UIPrefab/InitForm/InitForm' for 'Windows' complete.
[23:55:22.590][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UICommon/UILoadingPanel' for 'Windows'...
[23:55:22.674][INFO] Process asset bundle 'Asset/UI/UIPrefab/UICommon/UILoadingPanel' for 'Windows' complete.
[23:55:22.674][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UILogin/UILoginPanel' for 'Windows'...
[23:55:22.678][INFO] Process asset bundle 'Asset/UI/UIPrefab/UILogin/UILoginPanel' for 'Windows' complete.
[23:55:22.678][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UIMainHall/UIMainHallPanel' for 'Windows'...
[23:55:22.681][INFO] Process asset bundle 'Asset/UI/UIPrefab/UIMainHall/UIMainHallPanel' for 'Windows' complete.
[23:55:22.681][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/Button' for 'Windows'...
[23:55:22.684][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/Button' for 'Windows' complete.
[23:55:22.684][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/ButtonNoText' for 'Windows'...
[23:55:22.686][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/ButtonNoText' for 'Windows' complete.
[23:55:22.686][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/Image' for 'Windows'...
[23:55:22.688][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/Image' for 'Windows' complete.
[23:55:22.688][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/Joystick/Joystick' for 'Windows'...
[23:55:22.690][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/Joystick/Joystick' for 'Windows' complete.
[23:55:22.690][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/Progress' for 'Windows'...
[23:55:22.692][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/Progress' for 'Windows' complete.
[23:55:22.692][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/Text' for 'Windows'...
[23:55:22.694][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/Text' for 'Windows' complete.
[23:55:22.694][INFO] Start process asset bundle 'Asset/UI/UIPrefab/UITemplate/UIPanel' for 'Windows'...
[23:55:22.695][INFO] Process asset bundle 'Asset/UI/UIPrefab/UITemplate/UIPanel' for 'Windows' complete.
[23:55:22.695][INFO] Start process asset bundle 'Fantasy-Environment/Controllers' for 'Windows'...
[23:55:22.697][INFO] Process asset bundle 'Fantasy-Environment/Controllers' for 'Windows' complete.
[23:55:22.697][INFO] Start process asset bundle 'Fantasy-Environment/FBX' for 'Windows'...
[23:55:25.714][INFO] Process asset bundle 'Fantasy-Environment/FBX' for 'Windows' complete.
[23:55:25.715][INFO] Start process asset bundle 'Fantasy-Environment/Materials' for 'Windows'...
[23:55:25.735][INFO] Process asset bundle 'Fantasy-Environment/Materials' for 'Windows' complete.
[23:55:25.735][INFO] Start process asset bundle 'Fantasy-Environment/Particles' for 'Windows'...
[23:55:25.793][INFO] Process asset bundle 'Fantasy-Environment/Particles' for 'Windows' complete.
[23:55:25.793][INFO] Start process asset bundle 'Fantasy-Environment/Prefabs/Buildings' for 'Windows'...
[23:55:25.801][INFO] Process asset bundle 'Fantasy-Environment/Prefabs/Buildings' for 'Windows' complete.
[23:55:25.801][INFO] Start process asset bundle 'Fantasy-Environment/Prefabs/Props' for 'Windows'...
