[00:14:08.557][INFO] Build Start Time: 2021-10-19 00:14:08.552
[00:14:08.557][INFO] Execute build event handler 'OnPreprocessAllPlatforms'...
[00:14:08.558][INFO] Start prepare resource collection...
[00:14:10.997][INFO] Prepare resource collection complete.
[00:14:10.997][INFO] Start analyze assets dependency...
[00:14:13.477][INFO] Analyze assets dependency complete.
[00:14:13.477][INFO] Start prepare build data...
[00:14:19.249][INFO] Prepare resource build data complete.
[00:14:19.249][INFO] Start build resources for selected platforms...
[00:14:19.249][INFO] Start build resources for 'Windows'...
[00:14:19.250][INFO] Working path is 'D:/Working/DeerGameFramework/trunk/xGame/GameFramework200730/ResourcesFile/Working/Windows/'.
[00:14:19.250][INFO] Output package is not selected.
[00:14:19.250][INFO] Output full is selected, path is 'D:/Working/DeerGameFramework/trunk/xGame/GameFramework200730/ResourcesFile/Full/0_1_9/Windows/'.
[00:14:19.250][INFO] Output packed is not selected.
[00:14:19.299][INFO] Execute build event handler 'OnPreprocessPlatform' for 'Windows'...
[00:14:19.299][INFO] Unity start build asset bundles for 'Windows'...
[00:14:19.560][INFO] Execute build event handler 'OnBuildAssetBundlesComplete' for 'Windows'...
[00:14:19.561][INFO] Unity build asset bundles for 'Windows' complete.
[00:14:19.561][INFO] Start create file system for 'Windows'...
[00:14:19.561][INFO] Create file system for 'Windows' complete.
[00:14:19.561][INFO] Start process asset bundle 'Asset/EntityPrefabs/Character/Blade_girl' for 'Windows'...
[00:14:19.573][INFO] Process asset bundle 'Asset/EntityPrefabs/Character/Blade_girl' for 'Windows' complete.
[00:14:19.573][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/Materials' for 'Windows'...
[00:14:19.583][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/Materials' for 'Windows' complete.
[00:14:19.583][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/Textures' for 'Windows'...
[00:14:19.751][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/Textures' for 'Windows' complete.
[00:14:19.751][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/model' for 'Windows'...
[00:14:20.264][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/model' for 'Windows' complete.
[00:14:20.264][INFO] Start process asset bundle 'Asset/EntityResources/Character/Blade_girl/prefab' for 'Windows'...
[00:14:20.277][INFO] Process asset bundle 'Asset/EntityResources/Character/Blade_girl/prefab' for 'Windows' complete.
[00:14:20.277][INFO] Start process asset bundle 'Asset/GF' for 'Windows'...
[00:14:20.284][INFO] Process asset bundle 'Asset/GF' for 'Windows' complete.
[00:14:20.284][INFO] Start process asset bundle 'Asset/GameConfigs' for 'Windows'...
[00:14:20.286][INFO] Process asset bundle 'Asset/GameConfigs' for 'Windows' complete.
[00:14:20.286][INFO] Start process asset bundle 'Asset/Lua' for 'Windows'...
[00:14:20.331][INFO] Process asset bundle 'Asset/Lua' for 'Windows' complete.
[00:14:20.331][INFO] Start process asset bundle 'Asset/TTF' for 'Windows'...
[00:14:21.968][INFO] Process asset bundle 'Asset/TTF' for 'Windows' complete.
[00:14:21.968][INFO] Start process asset bundle 'Asset/UI/UIArt/Atlas/Common/item1' for 'Windows'...
[00:14:22.332][INFO] Process asset bundle 'Asset/UI/UIArt/Atlas/Common/item1' for 'Windows' complete.
[00:14:22.332][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/001' for 'Windows'...
[00:14:22.571][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/001' for 'Windows' complete.
[00:14:22.571][INFO] Start process asset bundle 'Asset/UI/UIArt/Sprite/Common/002' for 'Windows'...
[00:14:22.641][INFO] Process asset bundle 'Asset/UI/UIArt/Sprite/Common/002' for 'Windows' complete.
